aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_stipulated_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),181,-0.5459296616986895,-0.3085
1,Northern Guarani Aquifer (Guarani Aquifer System),141,-0.513743772482181,-0.1315
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),122,-0.5337930124701799,-0.3266
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),101,-1.1424489435405512,-1.3532
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),105,-0.3840853229334912,-0.1957
5,Eastern Eromanga Basin (Great Artesian Basin),106,-0.8274604753483658,-0.8111
6,Northern Eromanga Basin (Great Artesian Basin),99,-2.3226433822035615,-2.6775
7,Northern High Plains (High Plains),111,-0.3454927765394653,-0.2914
8,Williston Basin (Northern Great Plains),116,-0.7090589748034869,-0.7239
9,Central Eromanga Depocenter (Great Artesian Basin),78,-1.7111655922175963,-1.9035
10,Western Parecis Basin (Parecis Basin),71,-1.3095421924652313,-1.141
11,Upper Gangetic Plain (Indo-Gangetic Plain),73,-1.3769839425801909,-1.6989
12,Stampriet Kalahari Karoo Aquifer System,73,-0.39808864036619457,-0.0788
13,Northcentral Mega Aquifer System (Mega Aquifer System),65,-0.17706923951235112,-0.1473
14,Ozark Plateaus Aquifer System,70,-1.7646660047881761,-2.0149
15,Western Karoo Basin (Main Karoo Basin),52,-2.5344608475089303,-3.0
16,Middle Gangetic Plain (Indo-Gangetic Plain),53,-0.19700529837695413,-0.05
17,Northern Mega Aquifer System (Mega Aquifer System),54,-0.12488950299851978,-0.1392
18,Canning Basin,47,-0.48433638725391337,-0.5448
19,Central Karoo Basin (Main Karoo Basin),49,-0.46607679084895953,-0.1173
20,Southern Carpentaria Basin (Great Artesian Basin),44,-0.3600281579104126,-0.1747
21,Eastern Parecis Basin (Parecis Basin),38,-1.114329552025527,-1.0183
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),41,-0.4384637409437422,-0.4593
23,Wiso Basin (Daly-Wiso-Georgina Basins),40,-0.8256211683519735,-0.8586
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),41,-0.3403243732370628,-0.0834
25,Dakota Aquifer System,51,-0.3113502471895062,-0.2072
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),39,-0.12892013147904727,-0.0883
27,Trans Gangetic Plain (Indo-Gangetic Plain),40,-0.7272278663958385,-1.0779
28,Southcentral Mega Aquifer System (Mega Aquifer System),32,-0.10476500422430107,-0.2753
29,Central Mississippi Embayment (Mississippi Embayment),36,-2.234209491977919,-2.5295
30,Northern Karoo Basin (Main Karoo Basin),32,-0.5098358349882417,-0.0529
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),36,-0.39103476215159405,-0.2457
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),25,-1.0472744779495442,-1.4324
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),27,-0.17852059634367867,-0.0703
34,Central Huaihe Plain (Huaihe River Basin),29,-0.6001543654154635,-0.6839
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,38,-1.3575528763237874,-1.2784
36,Southern High Plains (High Plains),30,-0.4397249699572995,-0.3659
37,Southcentral Karoo Basin (Main Karoo Basin),27,-1.2846519653553876,-1.2077
38,Central High Plains (High Plains),28,-1.297090484473531,-1.7983
39,Lower Liaohe River Plain (Liaohe River Basin),29,0.3665333654545813,-0.056
40,Wadi As-Sirhan Basin,25,0.2017573180114442,-0.0744
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),25,-0.9127187092049643,-1.5162
